inspection_id,vehicle_id,model,plant,component_id,component_type,supplier,inspection_date,fault_code,fault_type,severity,sensor_value,inspection_result,repair_action
INS0001,V0242,MODEL_C,Plant_2,CMP0108,Battery,Supplier_C,2026-05-07,BAT_TEMP,Overheating,Medium,35.3,Fail,Inspect cooling system
INS0002,V0357,MODEL_B,Plant_2,CMP0118,Battery,Supplier_B,2026-06-05,BAT_TEMP,Overheating,Low,43.39,Fail,Inspect cooling system
INS0003,V0278,MODEL_A,Plant_2,CMP0111,Temperature Sensor,Supplier_A,2026-01-07,TEMP_DRIFT,Signal Drift,High,-15.72,Fail,Perform sensor calibration
INS0004,V0481,MODEL_B,Plant_3,CMP0120,Brake Sensor,Supplier_C,2026-07-15,SIG_ERR,Signal Error,Medium,52.76,Fail,Inspect sensor connection
INS0005,V0475,MODEL_A,Plant_2,CMP0285,Brake Sensor,Supplier_A,2026-04-28,NO_SIG,No Signal,Medium,21.88,Fail,Check wiring and connector
INS0006,V0062,MODEL_C,Plant_2,CMP0257,Temperature Sensor,Supplier_A,2026-07-05,TEMP_INV,Invalid Reading,Medium,68.11,Fail,Replace or recalibrate sensor
INS0007,V0499,MODEL_B,Plant_3,CMP0202,Brake Sensor,Supplier_C,2026-03-14,NO_SIG,No Signal,High,18.98,Fail,Check wiring and connector
INS0008,V0213,MODEL_C,Plant_1,CMP0188,Temperature Sensor,Supplier_A,2026-07-24,TEMP_DRIFT,Signal Drift,Medium,13.98,Fail,Perform sensor calibration
INS0009,V0340,MODEL_C,Plant_1,CMP0084,Temperature Sensor,Supplier_C,2026-01-23,NO_SIG,No Signal,Medium,83.35,Fail,Check wiring and connector
INS0010,V0023,MODEL_B,Plant_3,CMP0297,Temperature Sensor,Supplier_B,2026-01-08,TEMP_DRIFT,Signal Drift,Medium,48.56,Fail,Perform sensor calibration
INS0011,V0395,MODEL_A,Plant_3,CMP0281,Brake Sensor,Supplier_C,2026-02-28,SIG_ERR,Signal Error,Low,16.86,Fail,Inspect sensor connection
INS0012,V0466,MODEL_B,Plant_3,CMP0281,Battery,Supplier_B,2026-04-01,BAT_TEMP,Overheating,Medium,70.85,Fail,Inspect cooling system
INS0013,V0263,MODEL_A,Plant_3,CMP0288,Temperature Sensor,Supplier_C,2026-08-08,TEMP_INV,Invalid Reading,High,33.72,Fail,Replace or recalibrate sensor
INS0014,V0482,MODEL_C,Plant_2,CMP0249,Battery,Supplier_B,2026-05-22,BAT_TEMP,Overheating,Low,41.88,Fail,Inspect cooling system
INS0015,V0403,MODEL_C,Plant_2,CMP0235,Brake Sensor,Supplier_B,2026-05-19,CAL_ERR,Calibration Error,High,0.16,Fail,Recalibrate sensor
INS0016,V0093,MODEL_A,Plant_3,CMP0131,Temperature Sensor,Supplier_A,2026-05-21,TEMP_INV,Invalid Reading,High,68.95,Fail,Replace or recalibrate sensor
INS0017,V0008,MODEL_B,Plant_1,CMP0138,Battery,Supplier_C,2026-01-05,BAT_TEMP,Overheating,Medium,24.99,Fail,Inspect cooling system
INS0018,V0082,MODEL_B,Plant_3,CMP0087,Battery,Supplier_C,2026-01-18,BAT_TEMP,Overheating,Low,40.67,Fail,Inspect cooling system
INS0019,V0165,MODEL_B,Plant_2,CMP0059,Temperature Sensor,Supplier_B,2026-04-27,NO_SIG,No Signal,High,79.62,Fail,Check wiring and connector
INS0020,V0130,MODEL_C,Plant_3,CMP0108,Battery,Supplier_B,2026-03-08,BAT_TEMP,Overheating,Low,67.77,Fail,Inspect cooling system
